stop_key,name,name_norm,name_key,aliases,lat,lon,sido_cd,sido_nm,sgg_cd,sgg_nm,region_method,snap_dist_m,source_ids,rep_source,ars_nos,merge_status,twin_dist_m,is_virtual,raw_city_label
100000001,종로2가사거리,종로2가사거리,종로2가사거리,종로2가사거리(중),37.5698055,126.9877523,11,서울특별시,11110,종로구,contain,,GGB100000001|SEB100000001,SEB,01001,merged_near,3.0,0,서울특별시
100000002,창경궁.서울대학교병원,창경궁.서울대학교병원,창경궁서울대학교병원,창경궁.서울대학교병원(중),37.5794329,126.9965206,11,서울특별시,11110,종로구,contain,,GGB100000002|SEB100000002,SEB,01002,merged_near,22.6,0,서울특별시
100000003,명륜3가.성대입구,명륜3가.성대입구,명륜3가성대입구,명륜3가.성대입구(중),37.5825800,126.9982508,11,서울특별시,11110,종로구,contain,,GGB100000003|SEB100000003,SEB,01003,merged_near,15.2,0,서울특별시
100000004,종로2가.삼일교,종로2가.삼일교,종로2가삼일교,종로2가.삼일교(중),37.5685793,126.9876131,11,서울특별시,11110,종로구,contain,,GGB100000004|SEB100000004,SEB,01004,merged_near,13.5,0,서울특별시
100000005,혜화동로터리.여운형활동터,혜화동로터리.여운형활동터,혜화동로터리여운형활동터,혜화동로터리.여운형활동터(중),37.5862430,127.0017440,11,서울특별시,11110,종로구,contain,,GGB100000005|SEB100000005,SEB,01005,merged_near,1.2,0,서울특별시
100000006,경기상고,경기상고,경기상고,,37.5875502,126.9693635,11,서울특별시,11110,종로구,contain,,SEB100000006,SEB,01101,single,,0,서울특별시
100000007,신교동,신교동,신교동,,37.5832955,126.9702627,11,서울특별시,11110,종로구,contain,,SEB100000007,SEB,01102,single,,0,서울특별시
100000008,경기상고,경기상고,경기상고,,37.5871908,126.9697701,11,서울특별시,11110,종로구,contain,,SEB100000008,SEB,01103,single,,0,서울특별시
100000009,경복고교,경복고교,경복고교,,37.5851600,126.9708802,11,서울특별시,11110,종로구,contain,,SEB100000009,SEB,01104,single,,0,서울특별시
100000010,청운중학교,청운중학교,청운중학교,,37.5878106,126.9726741,11,서울특별시,11110,종로구,contain,,SEB100000010,SEB,01105,single,,0,서울특별시
100000011,자하문고개.윤동주문학관,자하문고개.윤동주문학관,자하문고개윤동주문학관,,37.5921866,126.9671262,11,서울특별시,11110,종로구,contain,,SEB100000011,SEB,01106,single,,0,서울특별시
100000012,자하문고개.윤동주문학관,자하문고개.윤동주문학관,자하문고개윤동주문학관,,37.5923353,126.9671907,11,서울특별시,11110,종로구,contain,,SEB100000012,SEB,01107,single,,0,서울특별시
100000013,청운중학교,청운중학교,청운중학교,,37.5884220,126.9722631,11,서울특별시,11110,종로구,contain,,SEB100000013,SEB,01108,single,,0,서울특별시
100000014,경복고교,경복고교,경복고교,,37.5850633,126.9714039,11,서울특별시,11110,종로구,contain,,SEB100000014,SEB,01109,single,,0,서울특별시
100000015,통인시장종로구보건소,통인시장종로구보건소,통인시장종로구보건소,,37.5803257,126.9710500,11,서울특별시,11110,종로구,contain,,SEB100000015,SEB,01110,single,,0,서울특별시
100000016,통인시장종로구보건소,통인시장종로구보건소,통인시장종로구보건소,,37.5805132,126.9713851,11,서울특별시,11110,종로구,contain,,SEB100000016,SEB,01111,single,,0,서울특별시
100000017,효자동,효자동,효자동,,37.5830910,126.9706210,11,서울특별시,11110,종로구,contain,,SEB100000017,SEB,01112,single,,0,서울특별시
100000018,사직단.어린이도서관,사직단.어린이도서관,사직단어린이도서관,,37.5751355,126.9679907,11,서울특별시,11110,종로구,contain,,GGB100000018|SEB100000018,SEB,01113,merged_near,2.3,0,서울특별시
100000019,경복궁역1번출구,경복궁역1번출구,경복궁역1번출구,,37.5761615,126.9714158,11,서울특별시,11110,종로구,contain,,GGB100000019|SEB100000019,SEB,01114,merged_near,15.6,0,서울특별시
100000020,경복궁역2번출구,경복궁역2번출구,경복궁역2번출구,,37.5770401,126.9721994,11,서울특별시,11110,종로구,contain,,SEB100000020,SEB,01115,single,,0,서울특별시
100000021,경복궁역3번출구,경복궁역3번출구,경복궁역3번출구,,37.5776714,126.9722829,11,서울특별시,11110,종로구,contain,,SEB100000021,SEB,01116,single,,0,서울특별시
100000022,경복궁,경복궁,경복궁,,37.5755768,126.9787471,11,서울특별시,11110,종로구,contain,,GGB100000022|SEB100000022,SEB,01117,merged_near,4.6,0,서울특별시
