route_id,route_name,source,day_type,headway_min_m,headway_max_m,up_first,up_last,down_first,down_last
200000006,300,gyeonggi,평일,10,15,04:20,21:30,06:10,23:20
200000006,300,gyeonggi,토요일,10,15,04:20,21:30,06:10,23:20
200000006,300,gyeonggi,일요일,10,15,04:20,21:30,06:10,23:20
200000006,300,gyeonggi,공휴일,10,15,04:20,21:30,06:10,23:20
200000008,400,gyeonggi,평일,30,40,04:30,23:00,06:30,23:50
200000008,400,gyeonggi,토요일,30,50,04:30,23:00,06:30,23:50
200000008,400,gyeonggi,일요일,30,50,04:30,23:00,06:30,23:50
200000008,400,gyeonggi,공휴일,30,50,04:30,23:00,06:30,23:50
200000010,900,gyeonggi,평일,10,25,04:10,22:00,06:10,00:00
200000010,900,gyeonggi,토요일,10,25,04:10,22:00,06:10,00:00
200000010,900,gyeonggi,일요일,10,25,04:10,22:00,06:10,00:00
200000010,900,gyeonggi,공휴일,10,25,04:10,22:00,06:10,00:00
200000013,999,gyeonggi,평일,50,120,04:20,20:50,06:10,23:00
200000013,999,gyeonggi,토요일,50,120,04:20,20:50,06:10,23:00
200000013,999,gyeonggi,일요일,50,120,04:20,20:50,06:10,23:00
200000013,999,gyeonggi,공휴일,50,120,04:20,20:50,06:10,23:00
200000015,9090,gyeonggi,평일,15,20,04:20,22:40,05:10,23:30
200000015,9090,gyeonggi,토요일,15,20,04:20,22:40,05:10,23:30
200000015,9090,gyeonggi,일요일,22,23,04:20,22:40,05:10,23:30
200000015,9090,gyeonggi,공휴일,22,23,04:20,22:40,05:10,23:30
200000016,50-2,gyeonggi,평일,140,170,05:20,20:50,06:10,21:50
200000016,50-2,gyeonggi,토요일,140,170,05:20,20:50,06:10,21:50
200000016,50-2,gyeonggi,일요일,140,170,05:20,20:50,06:10,21:50
200000016,50-2,gyeonggi,공휴일,140,170,05:20,20:50,06:10,21:50
200000018,50-4,gyeonggi,평일,120,140,05:00,20:20,05:50,21:10
200000018,50-4,gyeonggi,토요일,120,140,05:00,20:20,05:50,21:10
200000018,50-4,gyeonggi,일요일,120,140,05:00,20:20,05:50,21:10
200000018,50-4,gyeonggi,공휴일,120,140,05:00,20:20,05:50,21:10
200000020,50-5,gyeonggi,평일,150,190,06:10,20:30,07:20,21:45
200000020,50-5,gyeonggi,토요일,150,190,06:10,20:30,07:20,21:45
200000020,50-5,gyeonggi,일요일,150,190,06:10,20:30,07:20,21:45
200000020,50-5,gyeonggi,공휴일,150,190,06:10,20:30,07:20,21:45
200000023,83-1,gyeonggi,평일,14,20,05:00,23:20,05:40,23:55
200000023,83-1,gyeonggi,토요일,15,22,05:00,23:20,05:40,23:55
200000023,83-1,gyeonggi,일요일,15,25,05:00,23:20,05:40,23:55
200000023,83-1,gyeonggi,공휴일,15,25,05:00,23:20,05:40,23:55
200000024,310,gyeonggi,평일,12,15,04:20,22:30,05:10,23:30
200000024,310,gyeonggi,토요일,12,15,04:20,22:30,05:10,23:30
200000024,310,gyeonggi,일요일,18,20,04:20,22:30,05:10,23:30
200000024,310,gyeonggi,공휴일,18,20,04:20,22:30,05:10,23:30
200000025,92,gyeonggi,평일,14,16,05:00,22:30,06:10,23:30
200000025,92,gyeonggi,토요일,15,17,05:00,22:30,06:10,23:30
200000025,92,gyeonggi,일요일,15,17,05:00,22:30,06:10,23:30
200000025,92,gyeonggi,공휴일,15,17,05:00,22:30,06:10,23:30
200000028,301,gyeonggi,평일,10,25,04:20,21:30,06:10,23:30
200000028,301,gyeonggi,토요일,10,25,04:20,21:30,06:10,23:30
200000028,301,gyeonggi,일요일,10,25,04:20,21:30,06:10,23:30
200000028,301,gyeonggi,공휴일,10,25,04:20,21:30,06:10,23:30
200000029,92-1,gyeonggi,평일,10,11,04:45,22:10,06:15,23:50
200000029,92-1,gyeonggi,토요일,12,14,04:45,22:10,06:15,23:50
200000029,92-1,gyeonggi,일요일,13,14,04:45,22:10,06:15,23:50
200000029,92-1,gyeonggi,공휴일,13,14,04:45,22:10,06:15,23:50
200000031,300-1,gyeonggi,평일,60,80,05:00,22:00,05:40,22:40
200000031,300-1,gyeonggi,토요일,60,80,05:00,22:00,05:40,22:40
200000031,300-1,gyeonggi,일요일,60,80,05:00,22:00,05:40,22:40
200000031,300-1,gyeonggi,공휴일,60,80,05:00,22:00,05:40,22:40
200000037,13,gyeonggi,평일,8,12,04:50,22:20,05:50,23:20
200000037,13,gyeonggi,토요일,10,14,04:50,22:20,05:50,23:20
200000037,13,gyeonggi,일요일,11,15,04:50,22:20,05:50,23:20
200000037,13,gyeonggi,공휴일,11,15,04:50,22:20,05:50,23:20
200000040,7-2,gyeonggi,평일,46,50,05:00,22:35,06:15,23:50
200000040,7-2,gyeonggi,토요일,57,60,05:00,22:35,06:15,23:50
200000040,7-2,gyeonggi,일요일,57,60,05:00,22:35,06:15,23:50
200000040,7-2,gyeonggi,공휴일,57,60,05:00,22:35,06:15,23:50
200000043,64,gyeonggi,평일,70,80,04:50,21:50,06:30,23:35
200000043,64,gyeonggi,토요일,90,105,04:50,21:50,06:30,23:35
200000043,64,gyeonggi,일요일,90,105,04:50,21:50,06:30,23:35
200000043,64,gyeonggi,공휴일,90,105,04:50,21:50,06:30,23:35
200000045,7-1,gyeonggi,평일,18,20,05:00,22:40,06:20,00:00
200000045,7-1,gyeonggi,토요일,20,23,05:00,22:40,06:20,00:00
200000045,7-1,gyeonggi,일요일,26,28,05:00,22:40,06:20,00:00
200000045,7-1,gyeonggi,공휴일,26,28,05:00,22:40,06:20,00:00
200000049,112,gyeonggi,평일,15,17,05:00,22:50,06:05,23:55
200000049,112,gyeonggi,토요일,17,21,05:00,22:50,06:05,23:55
200000049,112,gyeonggi,일요일,18,23,05:00,22:50,06:05,23:55
200000049,112,gyeonggi,공휴일,18,23,05:00,22:50,06:05,23:55
200000053,20,gyeonggi,평일,35,40,05:00,22:00,06:30,23:25
200000053,20,gyeonggi,토요일,42,48,05:00,22:00,06:30,23:25
200000053,20,gyeonggi,일요일,50,55,05:00,22:00,06:30,23:25
200000053,20,gyeonggi,공휴일,50,55,05:00,22:00,06:30,23:25
200000054,82-1,gyeonggi,평일,16,24,05:00,23:05,06:05,00:00
200000054,82-1,gyeonggi,토요일,25,35,05:00,23:05,06:05,00:00
200000054,82-1,gyeonggi,일요일,25,35,05:00,23:05,06:05,00:00
200000054,82-1,gyeonggi,공휴일,25,35,05:00,23:05,06:05,00:00
200000055,25,gyeonggi,평일,20,55,05:00,22:30,06:00,23:25
200000055,25,gyeonggi,토요일,25,65,05:00,22:30,06:00,23:25
200000055,25,gyeonggi,일요일,30,140,05:00,22:30,06:00,23:25
200000055,25,gyeonggi,공휴일,30,140,05:00,22:30,06:00,23:25
200000060,11,gyeonggi,평일,12,17,04:00,20:40,06:20,23:00
200000060,11,gyeonggi,토요일,14,17,04:00,20:40,06:20,23:00
200000060,11,gyeonggi,일요일,14,17,04:00,20:40,06:20,23:00
200000060,11,gyeonggi,공휴일,14,17,04:00,20:40,06:20,23:00
200000069,13-1,gyeonggi,평일,15,19,04:50,22:00,06:50,00:00
200000069,13-1,gyeonggi,토요일,17,20,04:50,22:00,06:50,00:00
200000069,13-1,gyeonggi,일요일,19,22,04:50,22:00,06:50,00:00
200000069,13-1,gyeonggi,공휴일,19,22,04:50,22:00,06:50,00:00
200000070,11-1,gyeonggi,평일,23,26,05:00,22:40,05:10,22:40
200000070,11-1,gyeonggi,토요일,30,33,05:00,22:40,05:10,22:40
200000070,11-1,gyeonggi,일요일,30,33,05:00,22:40,05:10,22:40
200000070,11-1,gyeonggi,공휴일,30,33,05:00,22:40,05:10,22:40
200000074,27,gyeonggi,평일,110,135,04:50,22:30,06:10,23:50
200000074,27,gyeonggi,토요일,110,135,04:50,22:30,06:10,23:50
200000074,27,gyeonggi,일요일,110,135,04:50,22:30,06:10,23:50
200000074,27,gyeonggi,공휴일,110,135,04:50,22:30,06:10,23:50
200000076,5,gyeonggi,평일,20,25,04:45,22:50,06:00,23:50
200000076,5,gyeonggi,토요일,25,30,04:45,22:50,06:00,23:50
200000076,5,gyeonggi,일요일,30,33,04:45,22:50,06:00,23:50
200000076,5,gyeonggi,공휴일,30,33,04:45,22:50,06:00,23:50
200000078,62-1,gyeonggi,평일,10,15,05:00,22:30,05:00,23:00
200000078,62-1,gyeonggi,토요일,14,20,05:00,22:30,05:00,23:00
200000078,62-1,gyeonggi,일요일,15,21,05:00,22:30,05:00,23:00
200000078,62-1,gyeonggi,공휴일,15,21,05:00,22:30,05:00,23:00
200000085,98,gyeonggi,평일,18,22,04:50,22:10,06:20,23:35
200000085,98,gyeonggi,토요일,23,30,04:50,22:10,06:20,23:35
200000085,98,gyeonggi,일요일,25,30,04:50,22:10,06:20,23:35
200000085,98,gyeonggi,공휴일,25,30,04:50,22:10,06:20,23:35
200000090,13-5,gyeonggi,평일,14,25,06:50,23:00,04:50,21:00
200000090,13-5,gyeonggi,토요일,15,25,06:50,23:00,04:50,21:00
200000090,13-5,gyeonggi,일요일,15,25,06:50,23:00,04:50,21:00
200000090,13-5,gyeonggi,공휴일,15,25,06:50,23:00,04:50,21:00
200000095,3,gyeonggi,평일,10,14,05:00,22:00,06:25,23:35
200000095,3,gyeonggi,토요일,12,17,05:00,22:00,06:25,23:35
200000095,3,gyeonggi,일요일,13,18,05:00,22:00,06:25,23:35
200000095,3,gyeonggi,공휴일,13,18,05:00,22:00,06:25,23:35
200000097,2-1,gyeonggi,평일,20,28,05:00,22:00,06:30,23:30
200000097,2-1,gyeonggi,토요일,30,40,05:00,22:00,06:30,23:30
200000097,2-1,gyeonggi,일요일,30,40,05:00,22:00,06:30,23:30
200000097,2-1,gyeonggi,공휴일,30,40,05:00,22:00,06:30,23:30
200000099,37,gyeonggi,평일,40,55,04:50,21:40,06:05,23:00
200000099,37,gyeonggi,토요일,55,70,04:50,21:40,06:05,23:00
200000099,37,gyeonggi,일요일,75,90,04:50,21:40,06:05,23:00
200000099,37,gyeonggi,공휴일,75,90,04:50,21:40,06:05,23:00
200000103,9,gyeonggi,평일,25,35,04:50,21:50,05:50,23:00
200000103,9,gyeonggi,토요일,30,50,04:50,21:50,05:50,23:00
200000103,9,gyeonggi,일요일,30,50,04:50,21:50,05:50,23:00
200000103,9,gyeonggi,공휴일,30,50,04:50,21:50,05:50,23:00
200000104,3000,gyeonggi,평일,12,14,04:30,01:00,05:30,02:00
200000104,3000,gyeonggi,토요일,12,15,04:30,01:00,05:30,02:00
200000104,3000,gyeonggi,일요일,15,17,05:00,23:00,06:00,00:00
200000104,3000,gyeonggi,공휴일,15,17,05:00,23:00,06:00,00:00
200000106,46,gyeonggi,평일,70,210,05:00,20:35,06:45,22:20
200000106,46,gyeonggi,토요일,70,210,05:00,20:35,06:45,22:20
200000106,46,gyeonggi,일요일,70,210,05:00,20:35,06:45,22:20
200000106,46,gyeonggi,공휴일,70,210,05:00,20:35,06:45,22:20
200000107,88,gyeonggi,평일,13,17,04:40,22:30,06:00,23:40
200000107,88,gyeonggi,토요일,18,22,04:40,22:30,06:00,23:40
200000107,88,gyeonggi,일요일,20,26,04:40,22:30,06:00,23:40
200000107,88,gyeonggi,공휴일,20,26,04:40,22:30,06:00,23:40
200000108,3003,gyeonggi,평일,6,20,05:30,23:30,06:30,00:30
200000108,3003,gyeonggi,토요일,6,20,05:30,23:30,06:30,00:30
200000108,3003,gyeonggi,일요일,13,15,05:30,23:00,06:30,00:00
200000108,3003,gyeonggi,공휴일,13,15,05:30,23:00,06:30,00:00
200000109,7002,gyeonggi,평일,20,30,05:20,23:00,06:20,00:00
200000109,7002,gyeonggi,토요일,20,30,05:20,23:00,06:20,00:00
200000109,7002,gyeonggi,일요일,20,30,05:20,23:00,06:20,00:00
200000109,7002,gyeonggi,공휴일,20,30,05:20,23:00,06:20,00:00
200000110,3007,gyeonggi,평일,8,15,05:20,00:00,06:15,01:00
200000110,3007,gyeonggi,토요일,10,20,05:20,00:00,06:15,01:00
200000110,3007,gyeonggi,일요일,12,25,05:20,23:10,06:15,00:10
200000110,3007,gyeonggi,공휴일,12,25,05:20,23:10,06:15,00:10
200000112,7000,gyeonggi,평일,10,20,05:30,00:00,06:30,01:00
200000112,7000,gyeonggi,토요일,10,20,05:30,00:00,06:30,01:00
200000112,7000,gyeonggi,일요일,12,20,05:30,23:30,06:30,00:30
200000112,7000,gyeonggi,공휴일,12,20,05:30,23:30,06:30,00:30
200000115,5100,gyeonggi,평일,6,15,05:30,00:10,06:10,01:00
200000115,5100,gyeonggi,토요일,6,25,05:30,00:10,06:10,01:00
200000115,5100,gyeonggi,일요일,8,23,05:30,23:20,06:10,00:00
200000115,5100,gyeonggi,공휴일,8,23,05:30,23:20,06:10,00:00
200000119,7001,gyeonggi,평일,12,20,05:20,23:50,06:20,00:50
200000119,7001,gyeonggi,토요일,12,20,05:20,23:50,06:20,00:50
200000119,7001,gyeonggi,일요일,18,20,05:20,23:20,06:20,00:20
200000119,7001,gyeonggi,공휴일,18,20,05:20,23:20,06:20,00:20
200000120,2007,gyeonggi,평일,10,18,04:30,22:50,05:30,23:50
200000120,2007,gyeonggi,토요일,11,17,04:30,22:50,05:30,23:50
200000120,2007,gyeonggi,일요일,15,19,04:30,22:50,05:30,23:50
200000120,2007,gyeonggi,공휴일,15,19,04:30,22:50,05:30,23:50
200000144,99,gyeonggi,평일,30,50,04:40,20:30,07:20,23:20
200000144,99,gyeonggi,토요일,50,70,04:40,20:30,07:20,23:20
200000144,99,gyeonggi,일요일,50,70,04:40,20:30,07:20,23:20
200000144,99,gyeonggi,공휴일,50,70,04:40,20:30,07:20,23:20
200000145,3002,gyeonggi,평일,10,45,05:25,23:30,06:30,00:30
200000145,3002,gyeonggi,토요일,25,45,05:25,23:30,06:30,00:30
200000145,3002,gyeonggi,일요일,25,45,05:25,23:30,06:30,00:30
200000145,3002,gyeonggi,공휴일,25,45,05:25,23:30,06:30,00:30
200000146,80,gyeonggi,평일,19,25,05:00,22:45,05:55,23:40
200000146,80,gyeonggi,토요일,24,32,05:00,22:45,05:55,23:40
200000146,80,gyeonggi,일요일,28,34,05:00,22:45,05:55,23:40
200000146,80,gyeonggi,공휴일,28,34,05:00,22:45,05:55,23:40
200000148,35,gyeonggi,평일,11,14,04:40,22:45,06:10,00:00
200000148,35,gyeonggi,토요일,12,15,04:40,22:45,06:10,00:00
200000148,35,gyeonggi,일요일,13,15,04:40,22:45,06:10,00:00
200000148,35,gyeonggi,공휴일,13,15,04:40,22:45,06:10,00:00
200000149,7790,gyeonggi,평일,10,25,05:00,23:30,06:00,00:30
200000149,7790,gyeonggi,토요일,20,25,05:00,22:50,06:00,00:00
200000149,7790,gyeonggi,일요일,25,30,05:00,22:50,06:00,00:00
200000149,7790,gyeonggi,공휴일,25,30,05:00,22:50,06:00,00:00
200000150,7800,gyeonggi,평일,1,14,05:00,23:50,06:00,01:00
200000150,7800,gyeonggi,토요일,8,10,05:00,23:00,06:00,00:00
200000150,7800,gyeonggi,일요일,10,12,05:00,23:00,06:00,00:00
200000150,7800,gyeonggi,공휴일,10,12,05:00,23:00,06:00,00:00
200000152,15-1,gyeonggi,평일,30,50,04:40,20:30,06:40,22:30
200000152,15-1,gyeonggi,토요일,50,60,04:40,20:30,06:40,22:30
200000152,15-1,gyeonggi,일요일,50,60,04:40,20:30,06:40,22:30
200000152,15-1,gyeonggi,공휴일,50,60,04:40,20:30,06:40,22:30
200000175,5300,gyeonggi,평일,10,20,05:00,23:55,06:20,01:10
200000175,5300,gyeonggi,토요일,10,20,05:00,23:55,06:20,01:10
