station_id,name,line_group,direction,hour,n_trips,n_trips_3h,headway_m
gyeongbu-1002,남영역,1호선,상행,5,5,17,10.6
gyeongbu-1002,남영역,1호선,상행,6,12,30,6.0
gyeongbu-1002,남영역,1호선,상행,7,13,41,4.4
gyeongbu-1002,남영역,1호선,상행,8,16,42,4.3
gyeongbu-1002,남영역,1호선,상행,9,13,40,4.5
gyeongbu-1002,남영역,1호선,상행,10,11,37,4.9
gyeongbu-1002,남영역,1호선,상행,11,13,35,5.1
gyeongbu-1002,남영역,1호선,상행,12,11,36,5.0
gyeongbu-1002,남영역,1호선,상행,13,12,35,5.1
gyeongbu-1002,남영역,1호선,상행,14,12,37,4.9
gyeongbu-1002,남영역,1호선,상행,15,13,40,4.5
gyeongbu-1002,남영역,1호선,상행,16,15,44,4.1
gyeongbu-1002,남영역,1호선,상행,17,16,45,4.0
gyeongbu-1002,남영역,1호선,상행,18,14,45,4.0
gyeongbu-1002,남영역,1호선,상행,19,15,41,4.4
gyeongbu-1002,남영역,1호선,상행,20,12,40,4.5
gyeongbu-1002,남영역,1호선,상행,21,13,35,5.1
gyeongbu-1002,남영역,1호선,상행,22,10,31,5.8
gyeongbu-1002,남영역,1호선,상행,23,8,20,9.0
gyeongbu-1002,남영역,1호선,상행,24,2,10,18.0
gyeongbu-1002,남영역,1호선,하행,5,6,19,9.5
gyeongbu-1002,남영역,1호선,하행,6,13,34,5.3
gyeongbu-1002,남영역,1호선,하행,7,15,45,4.0
gyeongbu-1002,남영역,1호선,하행,8,17,45,4.0
gyeongbu-1002,남영역,1호선,하행,9,13,42,4.3
gyeongbu-1002,남영역,1호선,하행,10,12,36,5.0
gyeongbu-1002,남영역,1호선,하행,11,11,35,5.1
gyeongbu-1002,남영역,1호선,하행,12,12,34,5.3
gyeongbu-1002,남영역,1호선,하행,13,11,36,5.0
gyeongbu-1002,남영역,1호선,하행,14,13,34,5.3
gyeongbu-1002,남영역,1호선,하행,15,10,36,5.0
gyeongbu-1002,남영역,1호선,하행,16,13,37,4.9
gyeongbu-1002,남영역,1호선,하행,17,14,41,4.4
gyeongbu-1002,남영역,1호선,하행,18,14,43,4.2
gyeongbu-1002,남영역,1호선,하행,19,15,42,4.3
gyeongbu-1002,남영역,1호선,하행,20,13,40,4.5
gyeongbu-1002,남영역,1호선,하행,21,12,36,5.0
gyeongbu-1002,남영역,1호선,하행,22,11,32,5.6
gyeongbu-1002,남영역,1호선,하행,23,9,22,8.2
gyeongbu-1002,남영역,1호선,하행,24,2,11,16.4
gyeongbu-1003,용산역,1호선,상행,5,5,17,10.6
gyeongbu-1003,용산역,1호선,상행,6,12,31,5.8
gyeongbu-1003,용산역,1호선,상행,7,14,42,4.3
gyeongbu-1003,용산역,1호선,상행,8,16,43,4.2
gyeongbu-1003,용산역,1호선,상행,9,13,40,4.5
gyeongbu-1003,용산역,1호선,상행,10,11,37,4.9
gyeongbu-1003,용산역,1호선,상행,11,13,35,5.1
gyeongbu-1003,용산역,1호선,상행,12,11,36,5.0
gyeongbu-1003,용산역,1호선,상행,13,12,35,5.1
gyeongbu-1003,용산역,1호선,상행,14,12,37,4.9
gyeongbu-1003,용산역,1호선,상행,15,13,40,4.5
gyeongbu-1003,용산역,1호선,상행,16,15,43,4.2
gyeongbu-1003,용산역,1호선,상행,17,15,45,4.0
gyeongbu-1003,용산역,1호선,상행,18,15,45,4.0
gyeongbu-1003,용산역,1호선,상행,19,15,42,4.3
gyeongbu-1003,용산역,1호선,상행,20,12,39,4.6
gyeongbu-1003,용산역,1호선,상행,21,12,34,5.3
gyeongbu-1003,용산역,1호선,상행,22,10,30,6.0
gyeongbu-1003,용산역,1호선,상행,23,8,20,9.0
gyeongbu-1003,용산역,1호선,상행,24,2,10,18.0
gyeongbu-1003,용산역,1호선,하행,5,7,25,7.2
gyeongbu-1003,용산역,1호선,하행,6,18,47,3.8
gyeongbu-1003,용산역,1호선,하행,7,22,66,2.7
gyeongbu-1003,용산역,1호선,하행,8,26,68,2.6
gyeongbu-1003,용산역,1호선,하행,9,20,62,2.9
gyeongbu-1003,용산역,1호선,하행,10,16,49,3.7
gyeongbu-1003,용산역,1호선,하행,11,13,45,4.0
gyeongbu-1003,용산역,1호선,하행,12,16,42,4.3
gyeongbu-1003,용산역,1호선,하행,13,13,43,4.2
gyeongbu-1003,용산역,1호선,하행,14,14,39,4.6
gyeongbu-1003,용산역,1호선,하행,15,12,42,4.3
gyeongbu-1003,용산역,1호선,하행,16,16,50,3.6
gyeongbu-1003,용산역,1호선,하행,17,22,60,3.0
gyeongbu-1003,용산역,1호선,하행,18,22,68,2.6
gyeongbu-1003,용산역,1호선,하행,19,24,66,2.7
gyeongbu-1003,용산역,1호선,하행,20,20,61,3.0
gyeongbu-1003,용산역,1호선,하행,21,17,52,3.5
gyeongbu-1003,용산역,1호선,하행,22,15,41,4.4
gyeongbu-1003,용산역,1호선,하행,23,9,27,6.7
gyeongbu-1003,용산역,1호선,하행,24,3,12,15.0
gyeongbu-1004,노량진역,1호선,상행,5,7,25,7.2
gyeongbu-1004,노량진역,1호선,상행,6,18,48,3.8
gyeongbu-1004,노량진역,1호선,상행,7,23,67,2.7
gyeongbu-1004,노량진역,1호선,상행,8,26,70,2.6
gyeongbu-1004,노량진역,1호선,상행,9,21,60,3.0
gyeongbu-1004,노량진역,1호선,상행,10,13,50,3.6
gyeongbu-1004,노량진역,1호선,상행,11,16,43,4.2
gyeongbu-1004,노량진역,1호선,상행,12,14,45,4.0
gyeongbu-1004,노량진역,1호선,상행,13,15,42,4.3
gyeongbu-1004,노량진역,1호선,상행,14,13,42,4.3
gyeongbu-1004,노량진역,1호선,상행,15,14,48,3.8
gyeongbu-1004,노량진역,1호선,상행,16,21,57,3.2
gyeongbu-1004,노량진역,1호선,상행,17,22,67,2.7
gyeongbu-1004,노량진역,1호선,상행,18,24,68,2.6
gyeongbu-1004,노량진역,1호선,상행,19,22,65,2.8
gyeongbu-1004,노량진역,1호선,상행,20,19,58,3.1
gyeongbu-1004,노량진역,1호선,상행,21,17,51,3.5
gyeongbu-1004,노량진역,1호선,상행,22,15,39,4.6
gyeongbu-1004,노량진역,1호선,상행,23,7,24,7.5
gyeongbu-1004,노량진역,1호선,상행,24,2,9,20.0
gyeongbu-1004,노량진역,1호선,하행,5,6,23,7.8
gyeongbu-1004,노량진역,1호선,하행,6,17,46,3.9
gyeongbu-1004,노량진역,1호선,하행,7,23,66,2.7
gyeongbu-1004,노량진역,1호선,하행,8,26,70,2.6
gyeongbu-1004,노량진역,1호선,하행,9,21,63,2.9
gyeongbu-1004,노량진역,1호선,하행,10,16,50,3.6
gyeongbu-1004,노량진역,1호선,하행,11,13,44,4.1
gyeongbu-1004,노량진역,1호선,하행,12,15,42,4.3
gyeongbu-1004,노량진역,1호선,하행,13,14,43,4.2
gyeongbu-1004,노량진역,1호선,하행,14,14,39,4.6
gyeongbu-1004,노량진역,1호선,하행,15,11,41,4.4
gyeongbu-1004,노량진역,1호선,하행,16,16,49,3.7
gyeongbu-1004,노량진역,1호선,하행,17,22,59,3.1
gyeongbu-1004,노량진역,1호선,하행,18,21,68,2.6
gyeongbu-1004,노량진역,1호선,하행,19,25,66,2.7
gyeongbu-1004,노량진역,1호선,하행,20,20,62,2.9
gyeongbu-1004,노량진역,1호선,하행,21,17,52,3.5
gyeongbu-1004,노량진역,1호선,하행,22,15,42,4.3
gyeongbu-1004,노량진역,1호선,하행,23,10,28,6.4
gyeongbu-1004,노량진역,1호선,하행,24,3,13,13.8
gyeongbu-1005,대방역,1호선,상행,5,7,27,6.7
gyeongbu-1005,대방역,1호선,상행,6,20,49,3.7
gyeongbu-1005,대방역,1호선,상행,7,22,65,2.8
gyeongbu-1005,대방역,1호선,상행,8,23,65,2.8
gyeongbu-1005,대방역,1호선,상행,9,20,55,3.3
gyeongbu-1005,대방역,1호선,상행,10,12,48,3.8
gyeongbu-1005,대방역,1호선,상행,11,16,41,4.4
gyeongbu-1005,대방역,1호선,상행,12,13,43,4.2
gyeongbu-1005,대방역,1호선,상행,13,14,41,4.4
gyeongbu-1005,대방역,1호선,상행,14,14,43,4.2
gyeongbu-1005,대방역,1호선,상행,15,15,47,3.8
gyeongbu-1005,대방역,1호선,상행,16,18,56,3.2
gyeongbu-1005,대방역,1호선,상행,17,23,65,2.8
gyeongbu-1005,대방역,1호선,상행,18,24,68,2.6
gyeongbu-1005,대방역,1호선,상행,19,21,65,2.8
gyeongbu-1005,대방역,1호선,상행,20,20,57,3.2
gyeongbu-1005,대방역,1호선,상행,21,16,51,3.5
gyeongbu-1005,대방역,1호선,상행,22,15,39,4.6
gyeongbu-1005,대방역,1호선,상행,23,8,24,7.5
gyeongbu-1005,대방역,1호선,상행,24,1,9,20.0
gyeongbu-1005,대방역,1호선,하행,5,5,23,7.8
gyeongbu-1005,대방역,1호선,하행,6,18,46,3.9
gyeongbu-1005,대방역,1호선,하행,7,23,67,2.7
gyeongbu-1005,대방역,1호선,하행,8,26,67,2.7
gyeongbu-1005,대방역,1호선,하행,9,18,60,3.0
gyeongbu-1005,대방역,1호선,하행,10,16,47,3.8
gyeongbu-1005,대방역,1호선,하행,11,13,42,4.3
gyeongbu-1005,대방역,1호선,하행,12,13,40,4.5
gyeongbu-1005,대방역,1호선,하행,13,14,41,4.4
gyeongbu-1005,대방역,1호선,하행,14,14,41,4.4
gyeongbu-1005,대방역,1호선,하행,15,13,42,4.3
gyeongbu-1005,대방역,1호선,하행,16,15,48,3.8
gyeongbu-1005,대방역,1호선,하행,17,20,57,3.2
gyeongbu-1005,대방역,1호선,하행,18,22,63,2.9
gyeongbu-1005,대방역,1호선,하행,19,21,62,2.9
gyeongbu-1005,대방역,1호선,하행,20,19,58,3.1
gyeongbu-1005,대방역,1호선,하행,21,18,53,3.4
gyeongbu-1005,대방역,1호선,하행,22,16,44,4.1
gyeongbu-1005,대방역,1호선,하행,23,10,29,6.2
gyeongbu-1005,대방역,1호선,하행,24,3,13,13.8
gyeongbu-1006,영등포역,1호선,상행,5,8,28,6.4
gyeongbu-1006,영등포역,1호선,상행,6,20,53,3.4
gyeongbu-1006,영등포역,1호선,상행,7,25,70,2.6
gyeongbu-1006,영등포역,1호선,상행,8,25,70,2.6
gyeongbu-1006,영등포역,1호선,상행,9,20,59,3.1
gyeongbu-1006,영등포역,1호선,상행,10,14,50,3.6
gyeongbu-1006,영등포역,1호선,상행,11,16,43,4.2
gyeongbu-1006,영등포역,1호선,상행,12,13,44,4.1
gyeongbu-1006,영등포역,1호선,상행,13,15,42,4.3
gyeongbu-1006,영등포역,1호선,상행,14,14,44,4.1
gyeongbu-1006,영등포역,1호선,상행,15,15,48,3.8
gyeongbu-1006,영등포역,1호선,상행,16,19,58,3.1
gyeongbu-1006,영등포역,1호선,상행,17,24,67,2.7
gyeongbu-1006,영등포역,1호선,상행,18,24,69,2.6
gyeongbu-1006,영등포역,1호선,상행,19,21,64,2.8
gyeongbu-1006,영등포역,1호선,상행,20,19,57,3.2
gyeongbu-1006,영등포역,1호선,상행,21,17,50,3.6
gyeongbu-1006,영등포역,1호선,상행,22,14,38,4.7
gyeongbu-1006,영등포역,1호선,상행,23,7,22,8.2
gyeongbu-1006,영등포역,1호선,상행,24,1,8,22.5
gyeongbu-1006,영등포역,1호선,하행,5,8,25,7.2
gyeongbu-1006,영등포역,1호선,하행,6,17,49,3.7
gyeongbu-1006,영등포역,1호선,하행,7,24,67,2.7
gyeongbu-1006,영등포역,1호선,하행,8,26,71,2.5
gyeongbu-1006,영등포역,1호선,하행,9,21,66,2.7
gyeongbu-1006,영등포역,1호선,하행,10,19,56,3.2
gyeongbu-1006,영등포역,1호선,하행,11,16,49,3.7
gyeongbu-1006,영등포역,1호선,하행,12,14,45,4.0
gyeongbu-1006,영등포역,1호선,하행,13,15,44,4.1
gyeongbu-1006,영등포역,1호선,하행,14,15,44,4.1
gyeongbu-1006,영등포역,1호선,하행,15,14,46,3.9
gyeongbu-1006,영등포역,1호선,하행,16,17,52,3.5
gyeongbu-1006,영등포역,1호선,하행,17,21,62,2.9
gyeongbu-1006,영등포역,1호선,하행,18,24,69,2.6
gyeongbu-1006,영등포역,1호선,하행,19,24,70,2.6
gyeongbu-1006,영등포역,1호선,하행,20,22,65,2.8
gyeongbu-1006,영등포역,1호선,하행,21,19,57,3.2
gyeongbu-1006,영등포역,1호선,하행,22,16,47,3.8
gyeongbu-1006,영등포역,1호선,하행,23,12,31,5.8
gyeongbu-1006,영등포역,1호선,하행,24,3,15,12.0
gyeongbu-1007,신도림역,1호선,상행,5,8,30,6.0
gyeongbu-1007,신도림역,1호선,상행,6,22,53,3.4
gyeongbu-1007,신도림역,1호선,상행,7,23,71,2.5
gyeongbu-1007,신도림역,1호선,상행,8,26,70,2.6
gyeongbu-1007,신도림역,1호선,상행,9,21,62,2.9
gyeongbu-1007,신도림역,1호선,상행,10,15,55,3.3
gyeongbu-1007,신도림역,1호선,상행,11,19,47,3.8
gyeongbu-1007,신도림역,1호선,상행,12,13,48,3.8
gyeongbu-1007,신도림역,1호선,상행,13,16,45,4.0
gyeongbu-1007,신도림역,1호선,상행,14,16,48,3.8
gyeongbu-1007,신도림역,1호선,상행,15,16,53,3.4
gyeongbu-1007,신도림역,1호선,상행,16,21,61,3.0
gyeongbu-1007,신도림역,1호선,상행,17,24,69,2.6
gyeongbu-1007,신도림역,1호선,상행,18,24,71,2.5
gyeongbu-1007,신도림역,1호선,상행,19,23,66,2.7
gyeongbu-1007,신도림역,1호선,상행,20,19,61,3.0
gyeongbu-1007,신도림역,1호선,상행,21,19,52,3.5
gyeongbu-1007,신도림역,1호선,상행,22,14,42,4.3
gyeongbu-1007,신도림역,1호선,상행,23,9,24,7.5
gyeongbu-1007,신도림역,1호선,상행,24,1,10,18.0
gyeongbu-1007,신도림역,1호선,하행,5,7,24,7.5
gyeongbu-1007,신도림역,1호선,하행,6,17,48,3.8
gyeongbu-1007,신도림역,1호선,하행,7,24,68,2.6
gyeongbu-1007,신도림역,1호선,하행,8,27,72,2.5
gyeongbu-1007,신도림역,1호선,하행,9,21,66,2.7
gyeongbu-1007,신도림역,1호선,하행,10,18,55,3.3
gyeongbu-1007,신도림역,1호선,하행,11,16,49,3.7
gyeongbu-1007,신도림역,1호선,하행,12,15,46,3.9
gyeongbu-1007,신도림역,1호선,하행,13,15,45,4.0
gyeongbu-1007,신도림역,1호선,하행,14,15,44,4.1
gyeongbu-1007,신도림역,1호선,하행,15,14,45,4.0
