chain_id,chain_name,line_group,line_raw,loop,seq,station_id,phys_id,name,lat,lon,status,source,src_no,src_name
arex,인천국제공항선,공항철도,인천국제공항선,0,1,arex-A01,arex-A01,서울,37.5530178,126.9697643,db,comp,A01,서울
arex,인천국제공항선,공항철도,인천국제공항선,0,2,arex-A02,arex-A02,공덕,37.5427105,126.9516296,db,comp,A02,공덕
arex,인천국제공항선,공항철도,인천국제공항선,0,3,arex-A03,arex-A03,홍대입구,37.5577410,126.9264939,db,comp,A03,홍대입구
arex,인천국제공항선,공항철도,인천국제공항선,0,4,arex-A04,arex-A04,디지털미디어시티,37.5773550,126.8980250,db,comp,A04,디지털미디어시티
arex,인천국제공항선,공항철도,인천국제공항선,0,5,arex-A042,arex-A042,마곡나루,37.5658191,126.8276358,db,comp,A042,마곡나루
arex,인천국제공항선,공항철도,인천국제공항선,0,6,arex-A05,arex-A05,김포공항,37.5621165,126.8015442,db,comp,A05,김포공항
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,1,gimpogold-G100,gimpogold-G100,양촌역,37.6416390,126.6146940,db,comp,100,양촌역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,2,gimpogold-G101,gimpogold-G101,구래역,37.6453540,126.6285000,db,comp,101,구래역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,3,gimpogold-G102,gimpogold-G102,마산역,37.6406060,126.6439440,db,comp,102,마산역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,4,gimpogold-G103,gimpogold-G103,장기역,37.6440280,126.6690000,db,comp,103,장기역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,5,gimpogold-G104,gimpogold-G104,운양역,37.6538610,126.6838330,db,comp,104,운양역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,6,gimpogold-G105,gimpogold-G105,걸포북변역,37.6316390,126.7057500,db,comp,105,걸포북변역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,7,gimpogold-G106,gimpogold-G106,사우역,37.6203610,126.7197220,db,comp,106,사우역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,8,gimpogold-G107,gimpogold-G107,풍무역,37.6123330,126.7325830,db,comp,107,풍무역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,9,gimpogold-G108,gimpogold-G108,고촌역,37.6012500,126.7703610,db,comp,108,고촌역
gimpogold,김포도시철도,김포골드라인,김포도시철도,0,10,gimpogold-G109,arex-A05,김포공항역,37.5623090,126.8018330,db,comp,109,김포공항역
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,1,sillim-S401,seoul9-4116,샛강,37.5172199,126.9294040,db,comp,S401,샛강
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,2,sillim-S402,gyeongbu-1005,대방,37.5128402,126.9253168,db,comp,S402,대방
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,3,sillim-S403,sillim-S403,서울지방병무청,37.5060469,126.9227834,db,comp,S403,서울지방병무청
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,4,sillim-S404,seoul7-0742,보라매,37.5003127,126.9204859,db,comp,S404,보라매
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,5,sillim-S405,sillim-S405,보라매공원,37.4952254,126.9182588,db,comp,S405,보라매공원
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,6,sillim-S406,sillim-S406,보라매병원,37.4929607,126.9238860,db,comp,S406,보라매병원
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,7,sillim-S407,sillim-S407,당곡,37.4900391,126.9275688,db,comp,S407,당곡
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,8,sillim-S408,seoul2-0230,신림,37.4848908,126.9296099,db,comp,S408,신림
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,9,sillim-S409,sillim-S409,서원,37.4782734,126.9332282,db,comp,S409,서원
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,10,sillim-S410,sillim-S410,서울대벤처타운,37.4720407,126.9339766,db,comp,S410,서울대벤처타운
