station_id,name,line_group,live_subway_id,live_statn_id,live_name,match,note,data_date
shinbundang-D004,신사,신분당선,1077,1077000684,신사,exact,,2026-09-02
shinbundang-D005,논현,신분당선,1077,1077000685,논현,exact,,2026-09-02
shinbundang-D006,신논현,신분당선,1077,1077000686,신논현,exact,,2026-09-02
shinbundang-D007,강남,신분당선,1077,1077000687,강남,exact,,2026-09-02
shinbundang-D008,양재(서초구청),신분당선,1077,1077000688,양재,exact,,2026-09-02
shinbundang-D009,양재시민의숲(매헌),신분당선,1077,1077000689,양재시민의숲,exact,,2026-09-02
shinbundang-D010,청계산입구,신분당선,1077,1077006810,청계산입구,exact,,2026-09-02
shinbundang-D011,판교,신분당선,1077,1077006811,판교,exact,,2026-09-02
shinbundang-D012,정자,신분당선,1077,1077006812,정자,exact,,2026-09-02
shinbundang-D013,미금,신분당선,1077,1077006813,미금,exact,,2026-09-02
shinbundang-D014,동천,신분당선,1077,1077006814,동천,exact,,2026-09-02
shinbundang-D015,수지구청,신분당선,1077,1077006815,수지구청,exact,,2026-09-02
shinbundang-D016,성복,신분당선,1077,1077006816,성복,exact,,2026-09-02
shinbundang-D017,상현,신분당선,1077,1077006817,상현,exact,,2026-09-02
shinbundang-D018,광교중앙(아주대),신분당선,1077,1077006818,광교중앙,exact,,2026-09-02
shinbundang-D019,광교(경기대),신분당선,1077,1077006819,광교,exact,,2026-09-02
everline-Y110,기흥(백남준아트센터),용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y111,강남대,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y112,지석,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y113,어정,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y114,동백(용인세브란스),용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y115,초당,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y116,삼가,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y117,시청·용인대,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y118,명지대,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y119,김량장,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y120,용인중앙시장(용인예술과학대),용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y121,고진,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y122,보평,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y123,둔전,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
everline-Y124,전대·에버랜드,용인에버라인,,,,no_live_line,노선군 자체가 실시간 역정보에 없다,2026-09-02
arex-A01,서울,공항철도,1065,1065006501,서울,exact,,2026-09-02
arex-A02,공덕,공항철도,1065,1065006502,공덕,exact,,2026-09-02
arex-A03,홍대입구,공항철도,1065,1065006503,홍대입구,exact,,2026-09-02
arex-A04,디지털미디어시티,공항철도,1065,1065006504,디지털미디어시티,exact,,2026-09-02
arex-A042,마곡나루,공항철도,1065,1065065042,마곡나루,exact,,2026-09-02
arex-A05,김포공항,공항철도,1065,1065006505,김포공항,exact,,2026-09-02
