station_id,name,name_norm,name_key,aliases,line_raw,line_code,line_id,line_group,lat,lon,sido_cd,sido_nm,sgg_cd,sgg_nm,region_method,operator,is_transfer,data_date
shinbundang-D004,신사,신사,신사,,신분당선,I11D1,shinbundang,신분당선,37.5161253,127.0197609,11,서울특별시,11680,강남구,contain,경기도 신분당선,1,2026-06-18
shinbundang-D005,논현,논현,논현,,신분당선,I11D1,shinbundang,신분당선,37.5111154,127.0213658,11,서울특별시,11680,강남구,contain,경기도 신분당선,1,2026-06-18
shinbundang-D006,신논현,신논현,신논현,,신분당선,I11D1,shinbundang,신분당선,37.5045554,127.0245306,11,서울특별시,11680,강남구,contain,경기도 신분당선,1,2026-06-18
shinbundang-D007,강남,강남,강남,,신분당선,I11D1,shinbundang,신분당선,37.4973854,127.0278789,11,서울특별시,11650,서초구,contain,경기도 신분당선,1,2026-06-18
shinbundang-D008,양재(서초구청),양재(서초구청),양재,,신분당선,I11D1,shinbundang,신분당선,37.4844535,127.0340995,11,서울특별시,11650,서초구,contain,경기도 신분당선,1,2026-06-18
shinbundang-D009,양재시민의숲(매헌),양재시민의숲(매헌),양재시민의숲,,신분당선,I11D1,shinbundang,신분당선,37.4709639,127.0384203,11,서울특별시,11650,서초구,contain,경기도 신분당선,0,2026-06-18
shinbundang-D010,청계산입구,청계산입구,청계산입구,,신분당선,I11D1,shinbundang,신분당선,37.4487148,127.0543396,11,서울특별시,11650,서초구,contain,경기도 신분당선,0,2026-06-18
shinbundang-D011,판교,판교,판교,,신분당선,I11D1,shinbundang,신분당선,37.3957148,127.1112107,41,경기도,41130,성남시,contain,경기도 신분당선,1,2026-06-18
shinbundang-D012,정자,정자,정자,,신분당선,I11D1,shinbundang,신분당선,37.3682102,127.1083859,41,경기도,41130,성남시,contain,경기도 신분당선,1,2026-06-18
shinbundang-D013,미금,미금,미금,,신분당선,I11D1,shinbundang,신분당선,37.3511833,127.1089028,41,경기도,41130,성남시,contain,경기도 신분당선,1,2026-06-18
shinbundang-D014,동천,동천,동천,,신분당선,I11D1,shinbundang,신분당선,37.3386841,127.1027937,41,경기도,41460,용인시,contain,경기도 신분당선,0,2026-06-18
shinbundang-D015,수지구청,수지구청,수지구청,,신분당선,I11D1,shinbundang,신분당선,37.3230090,127.0955813,41,경기도,41460,용인시,contain,경기도 신분당선,0,2026-06-18
shinbundang-D016,성복,성복,성복,,신분당선,I11D1,shinbundang,신분당선,37.3140425,127.0807578,41,경기도,41460,용인시,contain,경기도 신분당선,0,2026-06-18
