line_group,label,color,kakao_names
1호선,1호선,#0052A4,1호선|수도권1호선
2호선,2호선,#00A84D,2호선
3호선,3호선,#EF7C1C,3호선
4호선,4호선,#00A5DE,4호선
5호선,5호선,#996CAC,5호선
6호선,6호선,#CD7C2F,6호선
7호선,7호선,#747F00,7호선
8호선,8호선,#E6186C,8호선
9호선,9호선,#BDB092,9호선
수인분당선,수인분당선,#F5A200,수인분당선
신분당선,신분당선,#D4003B,신분당선
경의중앙선,경의중앙선,#77C4A3,경의중앙선
경춘선,경춘선,#0C8E72,경춘선
경강선,경강선,#0054A6,경강선
서해선,서해선,#8FC31F,서해선
공항철도,공항철도,#0090D2,공항철도|인천국제공항철도
용인에버라인,용인에버라인,#56AD2D,용인에버라인|에버라인
의정부경전철,의정부경전철,#FDA600,의정부경전철|의정부
김포골드라인,김포골드라인,#A17800,김포골드라인|김포도시철도
우이신설선,우이신설선,#B0CE18,우이신설선|우이신설경전철
신림선,신림선,#6789CA,신림선|신림경전철
GTX-A,GTX-A,#9A6292,GTX-A|수도권광역급행철도A
