raw_line_name,line_id,line_group
1호선,seoul1,1호선
경부선,gyeongbu,1호선
경인선,gyeongin,1호선
경원선,gyeongwon,1호선
장항선,janghang,1호선
2호선,seoul2,2호선
3호선,seoul3,3호선
일산선,ilsan,3호선
4호선,seoul4,4호선
안산과천선,ansangwacheon,4호선
진접선,jinjeop,4호선
5호선,seoul5,5호선
6호선,seoul6,6호선
7호선,seoul7,7호선
도시철도 7호선,incheon7,7호선
8호선,seoul8,8호선
수도권 광역철도 8호선,metro8,8호선
서울 도시철도 9호선,seoul9,9호선
수도권 도시철도 9호선,metro9,9호선
분당선,bundang,수인분당선
수인선,suin,수인분당선
경의중앙선,gyeongui,경의중앙선
경춘선,gyeongchun,경춘선
경강선,gyeonggang,경강선
서해선,seohae,서해선
신분당선,shinbundang,신분당선
인천국제공항선,arex,공항철도
에버라인,everline,용인에버라인
의정부,uijeongbu,의정부경전철
김포도시철도,gimpogold,김포골드라인
우이신설선,uisinseol,우이신설선
수도권 경량도시철도 신림선,sillim,신림선
GTX-A,gtxa,GTX-A
