src_line_no,src_line_name,line_raw,chain_id,note
I28A1,인천국제공항선,인천국제공항선,arex,
L41G1,김포도시철도,김포도시철도,gimpogold,
L11SL,수도권 경량도시철도 신림선,수도권 경량도시철도 신림선,sillim,
I4104,진접선,진접선,jinjeop,
S4108,수도권 전철 8호선,수도권 광역철도 8호선,metro8,별내선 구리시 구간(다산·별내)
I11D1,신분당선,신분당선,shinbundang,
I1103,수도권 광역철도 3호선,3호선,seoul3,
I1104,수도권 광역철도 4호선,4호선,seoul4,
I4101,수도권 광역철도 1호선,1호선,seoul1,노선번호가 경부선과 같다
S1102,수도권 도시철도 2호선,2호선,seoul2,본선(순환)
S1121,수도권 도시철도 2호선,2호선,seoul2:성수지선,노선명이 본선과 같다 — 노선번호로 가른다
S1122,수도권 도시철도 2호선,2호선,seoul2:신정지선,노선명이 본선과 같다 — 노선번호로 가른다
S1105,수도권 도시철도 5호선,5호선,seoul5,
S1106,수도권 도시철도 6호선,6호선,seoul6,
S1107,수도권 도시철도 7호선,7호선,seoul7,노선번호가 도시철도 7호선(부천·인천 연장)과 같다
S1107,도시철도 7호선,도시철도 7호선,incheon7,부천·인천 연장(까치울–석남)
S1108,수도권 도시철도 8호선,8호선,seoul8,
S1109,서울 도시철도 9호선,서울 도시철도 9호선,seoul9,3단계(수도권 도시철도 9호선) 역도 이 목록에 있다
L41E1,수도권 경량도시철도 에버라인,에버라인,everline,
L11UI,수도권 경량도시철도 우이신설선,우이신설선,uisinseol,
L41U1,의정부,의정부,uijeongbu,
I41K5,경강선,경강선,gyeonggang,
I28K1,수인선,수인선,suin,
I28K1,분당선,분당선,bundang,원천 노선번호 I28K1 은 수인선 번호다 (역 파일의 분당선은 I4105)
I41K2,경춘선,경춘선,gyeongchun,
I4106,일산선,일산선,ilsan,
I4103,안산·과천선,안산과천선,ansangwacheon,
I4108,경의·중앙선,경의중앙선,gyeongui,
I4102,경원선,경원선,gyeongwon,
I1101,경인선,경인선,gyeongin,
I4101,경부선,경부선,gyeongbu,
I41WS,서해선,서해선,seohae,
