정류장번호,정류장명,위도,경도,도시명,reason,detail
GGB161000051,(구)국제여객터미널,37.45265,126.59775,인천광역시,outside_region,contained:인천광역시
GGB161000052,(구)국제여객터미널,37.4523667,126.5979333,인천광역시,outside_region,contained:인천광역시
GGB168000096,(주)경인양행앞,37.4990333,126.6653667,인천광역시,outside_region,contained:인천광역시
GGB168000097,(주)경인양행앞,37.4993167,126.66675,인천광역시,outside_region,contained:인천광역시
GGB165000029,(주)창원,37.3937,126.6992333,인천광역시,outside_region,contained:인천광역시
GGB165000030,(주)창원,37.3941167,126.6989667,인천광역시,outside_region,contained:인천광역시
GGB166000895,17사단.다임메가타운,37.4816,126.7463667,인천광역시,outside_region,contained:인천광역시
GGB168000642,1차풍림아이원,37.6147833,126.6576667,인천광역시,outside_region,contained:인천광역시
GGB166000159,2001아울렛,37.49065,126.712,인천광역시,outside_region,contained:인천광역시
GGB166000162,2001아울렛,37.4910833,126.7127,인천광역시,outside_region,contained:인천광역시
GGB168000584,2차풍림아이원,37.6131833,126.6606333,인천광역시,outside_region,contained:인천광역시
GGB277100072,5번교차로(미정차),34.8910333,128.6179833,,outside_region,far
GGB163000577,6공단사거리,37.4739,126.6680333,인천광역시,outside_region,contained:인천광역시
GGB163000442,6공단입구,37.4695667,126.6799667,인천광역시,outside_region,contained:인천광역시
GGB163000443,6공단입구,37.4698167,126.6798,인천광역시,outside_region,contained:인천광역시
GGB168001224,GS칼텍스,37.50685,126.6402833,인천광역시,outside_region,contained:인천광역시
GGB168000008,KG스틸,37.4806833,126.6726667,인천광역시,outside_region,contained:인천광역시
GGB166000384,KT부평지사,37.5038667,126.7121167,인천광역시,outside_region,contained:인천광역시
GGB166000381,KT부평지사,37.5036667,126.71155,인천광역시,outside_region,contained:인천광역시
GGB169000523,KT온수분국,37.6389333,126.4833167,인천광역시,outside_region,contained:인천광역시
GGB168001264,LG마그나,37.55525,126.6445167,인천광역시,outside_region,contained:인천광역시
GGB168001029,LG마그나,37.5549333,126.6443,인천광역시,outside_region,contained:인천광역시
GGB168000297,LG전자(주),37.5561833,126.6414333,인천광역시,outside_region,contained:인천광역시
GGB168001230,SK.GS주유소,37.4928,126.6608833,인천광역시,outside_region,contained:인천광역시
GGB168001231,SK.GS주유소,37.4927833,126.6612833,인천광역시,outside_region,contained:인천광역시
GGB161000636,SKLPG충전사업소,37.4487333,126.6022333,인천광역시,outside_region,contained:인천광역시
GGB161000638,SKLPG충전사업소,37.44885,126.6019333,인천광역시,outside_region,contained:인천광역시
GGB168000956,SK주유소,37.5120667,126.6490667,인천광역시,outside_region,contained:인천광역시
GGB161000085,SK충전소,37.4562667,126.6083,인천광역시,outside_region,contained:인천광역시
GGB164000645,e편한세상109동앞,37.4093667,126.6166833,인천광역시,outside_region,contained:인천광역시
GGB164000622,e편한세상109동앞,37.40965,126.61685,인천광역시,outside_region,contained:인천광역시
GGB167000038,e편한세상계양,37.52795,126.7137167,인천광역시,outside_region,contained:인천광역시
GGB167000037,e편한세상계양,37.5277667,126.7135833,인천광역시,outside_region,contained:인천광역시
GGB164000626,e편한세상정문,37.4136333,126.6171,인천광역시,outside_region,contained:인천광역시
GGB163000455,가구단지사거리,37.4809333,126.6565,인천광역시,outside_region,contained:인천광역시
GGB163000456,가구단지사거리,37.4811333,126.65615,인천광역시,outside_region,contained:인천광역시
GGB168000072,가구전시장,37.4958667,126.6671833,인천광역시,outside_region,contained:인천광역시
GGB168000074,가구전시장,37.4960833,126.66705,인천광역시,outside_region,contained:인천광역시
GGB168000078,가림고등학교,37.4924167,126.6805,인천광역시,outside_region,contained:인천광역시
GGB277103032,가산IC(미정차),36.0953167,128.5336167,경상북도 칠곡군,outside_region,far
GGB277103031,가산IC(미정차),36.0960667,128.5331667,경상북도 칠곡군,outside_region,far
GGB168000807,가야,37.5878333,126.5993833,인천광역시,outside_region,contained:인천광역시
GGB168000808,가야,37.5877167,126.59915,인천광역시,outside_region,contained:인천광역시
GGB168001118,가원초등학교,37.5286667,126.6628667,인천광역시,outside_region,contained:인천광역시
GGB168000952,가원초등학교,37.5292,126.6625,인천광역시,outside_region,contained:인천광역시
GGB359500060,가은터미널,36.6467667,128.06195,경상북도 문경시,outside_region,far
GGB168000042,가재울사거리,37.4866333,126.6793167,인천광역시,outside_region,contained:인천광역시
GGB168000039,가재울사거리,37.4861833,126.67925,인천광역시,outside_region,contained:인천광역시
GGB168001075,가정(루원시티)역,37.5245167,126.6742,인천광역시,outside_region,contained:인천광역시
GGB168001078,가정(루원시티)역,37.5250667,126.6737167,인천광역시,outside_region,contained:인천광역시
GGB168001050,가정(루원시티)역(중),37.5246333,126.6744167,인천광역시,outside_region,contained:인천광역시
GGB168001051,가정(루원시티)역(중),37.5248333,126.6750667,인천광역시,outside_region,contained:인천광역시
GGB168000226,가정3동성당,37.5188333,126.6822167,인천광역시,outside_region,contained:인천광역시
GGB168001041,가정LH3단지정문앞,37.5310667,126.6658167,인천광역시,outside_region,contained:인천광역시
GGB168000200,가정고등학교,37.51285,126.67875,인천광역시,outside_region,contained:인천광역시
GGB168000203,가정고등학교,37.51295,126.6789833,인천광역시,outside_region,contained:인천광역시
GGB168001120,가정보금자리(중),37.5282333,126.66275,인천광역시,outside_region,contained:인천광역시
GGB168001119,가정보금자리(중),37.52745,126.6625333,인천광역시,outside_region,contained:인천광역시
GGB168000219,가정중앙시장역,37.51785,126.6766333,인천광역시,outside_region,contained:인천광역시
GGB168000215,가정중앙시장역,37.5178667,126.6767833,인천광역시,outside_region,contained:인천광역시
GGB168000075,가좌3동행정복지센터,37.4921333,126.6801667,인천광역시,outside_region,contained:인천광역시
GGB168000062,가좌4동행정복지센터,37.4889833,126.6839667,인천광역시,outside_region,contained:인천광역시
GGB168000060,가좌고등학교,37.4901167,126.6803667,인천광역시,outside_region,contained:인천광역시
GGB168000061,가좌고등학교,37.4901667,126.6800333,인천광역시,outside_region,contained:인천광역시
GGB168000945,가좌공단,37.4946,126.6503333,인천광역시,outside_region,contained:인천광역시
GGB168000526,가좌공단,37.49445,126.6484333,인천광역시,outside_region,contained:인천광역시
GGB168000055,가좌교회,37.4882333,126.68215,인천광역시,outside_region,contained:인천광역시
GGB168000057,가좌교회,37.4887167,126.6826,인천광역시,outside_region,contained:인천광역시
GGB168000939,가좌동차고,37.49215,126.6511333,인천광역시,outside_region,contained:인천광역시
GGB168000522,가좌동차고지,37.4921,126.6499167,인천광역시,outside_region,contained:인천광역시
GGB168000090,가좌두산위브104동앞,37.4921833,126.6869833,인천광역시,outside_region,contained:인천광역시
GGB168000100,가좌진주아파트,37.49525,126.6824,인천광역시,outside_region,contained:인천광역시
GGB168000070,가좌초등학교,37.48995,126.6851,인천광역시,outside_region,contained:인천광역시
GGB168000069,가좌초등학교,37.4900833,126.6848167,인천광역시,outside_region,contained:인천광역시
