stop_key,ggb_id,seb_id,ggb_name,seb_name,dist_m,ggb_ars,seb_ars,sgg_nm,names_compatible,decision
112000097,GGB112000097,SEB112000097,DMC.파크뷰자이,DMC파크뷰자이,274.6,13180,13180,서대문구,1,merged_far
207000420,GGB207000420,SEB207000420,송산초교.상가단지,송산초교.상가단지,253.3,08397,08397,의정부시,1,merged_far
122000094,GGB122000094,SEB122000094,삼성역7번출구,삼성역7번출구,223.7,23197,23197,강남구,1,merged_far
114000217,GGB114000217,SEB114000217,신정숲속마을아파트,신정숲속마을아파트,207.2,15321,15321,양천구,1,merged_far
113000428,GGB113000428,SEB113000428,난지한강공원,난지한강공원,206.6,14331,14331,마포구,1,merged_far
122000232,GGB122000232,SEB122000232,개포1단지,개현초등학교,197.5,23336,23336,강남구,0,split
110000655,GGB110000655,SEB110000655,불암산역,불암산역,196.2,11664,11664,노원구,1,merged_far
123000318,GGB123000318,SEB123000318,오륜사거리,오륜사거리,193.3,24409,24409,송파구,1,merged_far
122000743,GGB122000743,SEB122000743,LH수서아파트,LH수서아파트,190.0,23440,23440,강남구,1,merged_far
123000037,GGB123000037,SEB123000037,잠실진주아파트,잠실래미안아이파크.잠실파크리오,186.8,24126,24126,송파구,0,split
104000050,GGB104000050,SEB104000050,어린이회관,어린이회관,182.1,05143,05143,광진구,1,merged_far
122000231,GGB122000231,SEB122000231,개포고등학교앞,개포1동주민센터.개포고등학교,180.0,23335,23335,강남구,0,split
106000462,GGB106000462,SEB106000462,당너머,당너머,176.2,07450,07450,중랑구,1,merged_far
102000091,GGB102000091,SEB102000091,전쟁기념관,전쟁기념관,173.2,03185,03185,용산구,1,merged_far
121000938,GGB121000938,SEB121000938,반포한강공원.세빛섬,반포한강공원.세빛섬,169.4,22405,22405,서초구,1,merged_far
110000646,GGB110000646,SEB110000646,상계3.4동주민센터,상계3.4동주민센터,161.0,11994,11994,노원구,1,merged_far
104000081,GGB104000081,SEB104000081,워커힐입구,워커힐입구,159.6,05174,05174,광진구,1,merged_far
220000028,GGB220000028,SEB220000028,과천지식정보타운,과천푸르지오라비엔오,156.4,21002,37013,과천시,0,split
121000119,GGB121000119,SEB121000119,사평역,사평역,151.5,22195,22195,서초구,1,merged_far
111000261,GGB111000261,SEB111000261,제각말5단지.은평뉴타운도서관,제각말5단지.은평뉴타운도서관,149.1,12351,12351,은평구,1,merged_far
124000137,GGB124000137,SEB124000137,한국전력공사강동송파지사,한국전력공사강동송파지사,145.8,25248,25248,강동구,1,merged_far
105000006,GGB105000006,SEB105000006,동대문구청(중),동대문구청,145.1,06006,06006,동대문구,1,merged_far
111000342,GGB111000342,SEB111000342,하나고.삼천사.진관사입구,하나고.삼천사.진관사입구,143.4,12437,12437,은평구,1,merged_far
118000085,GGB118000085,SEB118000085,영등포구민회관.영등포경찰서,영등포구민회관.영등포경찰서,140.0,19170,19170,영등포구,1,merged_far
121900325,GGB121900325,SEB121900325,본마을노인복지센터,본마을노인복지센터,136.2,22927,22927,서초구,1,merged_far
115000314,GGB115000314,SEB115000314,마곡엠밸리15단지아파트,마곡엠밸리15단지아파트,133.1,16428,16428,강서구,1,merged_far
121900326,GGB121900326,SEB121900326,본마을노인복지센터,본마을노인복지센터,132.7,22926,22926,서초구,1,merged_far
124000367,GGB124000367,SEB124000367,강일역.고덕리엔파크3단지.2단지,강일역.고덕리엔파크3단지.2단지,128.6,25343,25343,강동구,1,merged_far
100000031,GGB100000031,SEB100000031,세종문화회관,세종문화회관,124.2,01126,01126,종로구,1,merged_far
110000248,GGB110000248,SEB110000248,은행사거리,은행사거리,122.6,11349,11349,노원구,1,merged_far
115000313,GGB115000313,SEB115000313,마곡엠밸리14단지아파트,마곡엠밸리14단지아파트,119.3,16427,16427,강서구,1,merged_far
116000621,GGB116000621,SEB116000621,쌍용구로정비사업소,구로2동성당,119.1,17222,17222,구로구,0,split
213000179,GGB213000179,SEB213000179,철산두산위브아파트,철산두산위브아파트,117.5,14100,38078,광명시,1,merged_far
111000004,GGB111000004,SEB111000004,수색교(중),수색교,116.5,12004,12004,은평구,1,merged_far
112000106,GGB112000106,SEB112000106,DMC파크뷰자이.별동상가,DMC파크뷰자이.별동상가,114.2,13189,13189,서대문구,1,merged_far
124000134,GGB124000134,SEB124000134,동명약국앞,동명약국앞,113.8,25245,25245,강동구,1,merged_far
122000072,GGB122000072,SEB122000072,청담동성당,청담동성당,113.1,23174,23174,강남구,1,merged_far
122000281,GGB122000281,SEB122000281,수서119안전센터앞,수서119안전센터앞,111.9,23385,23385,강남구,1,merged_far
124000032,GGB124000032,SEB124000032,상일동역6번출구.고덕아르테온,상일동역6번출구.고덕아르테온,110.7,25132,25132,강동구,1,merged_far
113000016,GGB113000016,SEB113000016,월드컵경기장서측.문화비축기지,월드컵경기장서측.문화비축기지,107.6,14106,14106,마포구,1,merged_far
115000303,GGB115000303,SEB115000303,마곡수명산파크5단지6단지,마곡수명산파크5단지6단지,104.9,16417,16417,강서구,1,merged_far
123000123,GGB123000123,SEB123000123,송파나루역.방이시장,송파나루역.방이전통시장서문,104.7,24212,24212,송파구,0,split
121001346,GGB121001346,SEB121001346,반포3동주민센터.청담고등학교,반포3동주민센터.청담고등학교,104.2,,22209,서초구,1,merged_far
114000225,GGB114000225,SEB114000225,금실어린이공원,금실어린이공원,103.4,15329,15329,양천구,1,merged_far
122000148,GGB122000148,SEB122000148,한국무역센터.삼성역,한국무역센터.삼성역,101.7,23251,23251,강남구,1,merged_far
110000273,GGB110000273,SEB110000273,서울시립북서울미술관,서울시립북서울미술관,101.4,11374,11374,노원구,1,merged_far
101000047,GGB101000047,SEB101000047,남대문시장.회현역,남대문시장.회현역,99.9,02146,02146,중구,1,merged_far
124000184,GGB124000184,SEB124000184,상일동동아아파트,상일동동아아파트,99.3,25296,25296,강동구,1,merged_far
104000080,GGB104000080,SEB104000080,워커힐아파트앞,워커힐아파트앞,99.0,05173,05173,광진구,1,merged_far
122000142,GGB122000142,SEB122000142,휘문고교사거리,휘문고교사거리,97.4,23245,23245,강남구,1,merged_far
118000198,GGB118000198,SEB118000198,유진투자증권,유진투자증권,97.3,19283,19283,영등포구,1,merged_far
111000552,GGB111000552,SEB111000552,하나고.삼천사.진관사입구,하나고.삼천사.진관사입구,95.1,12464,12464,은평구,1,merged_far
123000680,GGB123000680,SEB123000680,포레나송파후문,포레나송파후문,94.0,24198,24198,송파구,1,merged_far
121900131,GGB121900131,SEB121900131,언남고,언남고,93.8,22889,22889,서초구,1,merged_far
116000404,GGB116000404,SEB116000404,개봉교,개봉교,93.2,17879,17879,구로구,1,merged_far
124000190,GGB124000190,SEB124000190,중앙보훈병원역1번출구,중앙보훈병원역1번출구,92.0,25302,25302,강동구,1,merged_far
121000096,GGB121000096,SEB121000096,신논현역.구교보타워사거리,신논현역7번출구.교보타워사거리,90.4,22172,22172,서초구,0,split
100000396,GGB100000396,SEB100000396,종로6가.동대문종합시장(중),종로6가.동대문종합시장,89.3,01021,01021,종로구,1,merged_far
114000237,GGB114000237,SEB114000237,가로공원공영주차장,가로공원공영주차장,89.2,15341,15341,양천구,1,merged_far
116900162,GGB116900162,SEB116900162,남부주유소,남부주유소,89.0,17908,17908,구로구,1,merged_far
102000248,GGB102000248,SEB102000248,노들섬,노들섬,88.8,03341,03341,용산구,1,merged_far
121900320,GGB121900320,SEB121900320,청계산입구역,청계산입구역,88.5,22598,22598,서초구,1,merged_far
114000246,GGB114000246,SEB114000246,광영고.신동아파밀리에아파트,광영고.신동아파밀리에아파트,87.8,15350,15350,양천구,1,merged_far
111000011,GGB111000011,SEB111000011,구파발역입구(중),구파발역입구,87.5,12011,12011,은평구,1,merged_far
124000185,GGB124000185,SEB124000185,상일동주몽재활원,상일동주몽재활원,86.6,25297,25297,강동구,1,merged_far
117900028,GGB117900028,SEB117900028,벽산디지털밸리6차,벽산디지털밸리6차,84.6,18792,18792,금천구,1,merged_far
114000377,GGB114000377,SEB114000377,국립과학수사연구소,국립과학수사연구소,83.7,15700,15700,양천구,1,merged_far
121900070,GGB121900070,SEB121900070,교총회관,교총회관,83.4,22500,22500,서초구,1,merged_far
112000037,GGB112000037,SEB112000037,이대부고,이대부고,83.2,13120,13120,서대문구,1,merged_far
209000005,GGB209000005,SEB209000005,호계1동행정복지센터.평촌센텀퍼스트,평촌센텀퍼스트,82.3,10120,56071,안양시,0,split
110000315,GGB110000315,SEB110000315,하계역,하계역,81.9,11416,11416,노원구,1,merged_far
102000086,GGB102000086,SEB102000086,효창공원앞역.이봉창역사울림관,효창공원앞역.이봉창역사울림관,81.9,03180,03180,용산구,1,merged_far
123000176,GGB123000176,SEB123000176,송파도서관,송파도서관,81.5,24266,24266,송파구,1,merged_far
118000504,GGB118000504,SEB118000504,여의나루역,여의나루역.한강버스선착장,80.8,19993,19993,영등포구,1,merged_far
121000085,GGB121000085,SEB121000085,교대역14번출구,교대역14번출구,80.6,22161,22161,서초구,1,merged_far
122000317,GGB122000317,SEB122000317,래미안포레아파트,래미안포레아파트,79.6,23424,23424,강남구,1,merged_far
112000103,GGB112000103,SEB112000103,북가좌삼호.DMC아이파크아파트,북가좌삼호.DMC아이파크아파트,79.2,13186,13186,서대문구,1,merged_far
121000206,GGB121000206,SEB121000206,서울AI허브.한국교원단체총연합회,서울AI허브.한국교원단체총연합회,79.1,22282,22282,서초구,1,merged_far
121900309,GGB121900309,SEB121900309,서초더샵포레,서초더샵포레,78.4,22521,22521,서초구,1,merged_far
115000574,GGB115000574,SEB115000574,화물청사C출구,대한항공화물청사,78.4,16987,16987,강서구,0,split
114000114,GGB114000114,SEB114000114,신한은행신월동지점,신한은행신월동지점,77.4,15217,15217,양천구,1,merged_far
102000247,GGB102000247,SEB102000247,노들섬,노들섬,77.4,03340,03340,용산구,1,merged_far
112000059,GGB112000059,SEB112000059,신촌역2호선,신촌역2호선,77.1,13142,13142,서대문구,1,merged_far
111000916,GGB111000916,SEB111000916,아이파크708동앞,아이파크708동앞,76.9,12457,12457,은평구,1,merged_far
